# 混淆映射表：可疑码位 -> 它看起来像的字符。TSV，四列，UTF-8、LF。
# 列：可疑码位	目标码位	规则 ID	说明
# 空行与 # 开头的行跳过；同一可疑码位只能出现一次。
U+4E14	U+0075	synthetic.bulk	压测条目
U+4E15	U+0076	synthetic.bulk	压测条目
U+4E16	U+0077	synthetic.bulk	压测条目
U+4E17	U+0078	synthetic.bulk	压测条目
U+4E18	U+0079	synthetic.bulk	压测条目
U+4E19	U+007A	synthetic.bulk	压测条目
U+4E1A	U+0030	synthetic.bulk	压测条目
U+4E1B	U+0031	synthetic.bulk	压测条目
U+4E1C	U+0032	synthetic.bulk	压测条目
U+4E1D	U+0033	synthetic.bulk	压测条目
U+4E1E	U+0034	synthetic.bulk	压测条目
U+4E1F	U+0035	synthetic.bulk	压测条目
U+4E20	U+0036	synthetic.bulk	压测条目
U+4E21	U+0037	synthetic.bulk	压测条目
U+4E22	U+0038	synthetic.bulk	压测条目
U+4E23	U+0039	synthetic.bulk	压测条目
U+4E24	U+0061	synthetic.bulk	压测条目
U+4E25	U+0062	synthetic.bulk	压测条目
U+4E26	U+0063	synthetic.bulk	压测条目
U+4E27	U+0064	synthetic.bulk	压测条目
U+4E28	U+0065	synthetic.bulk	压测条目
U+4E29	U+0066	synthetic.bulk	压测条目
U+4E2A	U+0067	synthetic.bulk	压测条目
U+4E2B	U+0068	synthetic.bulk	压测条目
U+4E2C	U+0069	synthetic.bulk	压测条目
U+4E2D	U+006A	synthetic.bulk	压测条目
U+4E2E	U+006B	synthetic.bulk	压测条目
U+4E2F	U+006C	synthetic.bulk	压测条目
U+4E30	U+006D	synthetic.bulk	压测条目
U+4E31	U+006E	synthetic.bulk	压测条目
U+4E32	U+006F	synthetic.bulk	压测条目
U+4E33	U+0070	synthetic.bulk	压测条目
U+4E34	U+0071	synthetic.bulk	压测条目
U+4E35	U+0072	synthetic.bulk	压测条目
U+4E36	U+0073	synthetic.bulk	压测条目
U+4E37	U+0074	synthetic.bulk	压测条目
U+4E38	U+0075	synthetic.bulk	压测条目
U+4E39	U+0076	synthetic.bulk	压测条目
U+4E3A	U+0077	synthetic.bulk	压测条目
U+4E3B	U+0078	synthetic.bulk	压测条目
U+4E3C	U+0079	synthetic.bulk	压测条目
U+4E3D	U+007A	synthetic.bulk	压测条目
U+4E3E	U+0030	synthetic.bulk	压测条目
U+4E3F	U+0031	synthetic.bulk	压测条目
U+4E40	U+0032	synthetic.bulk	压测条目
U+4E41	U+0033	synthetic.bulk	压测条目
U+4E42	U+0034	synthetic.bulk	压测条目
U+4E43	U+0035	synthetic.bulk	压测条目
U+4E44	U+0036	synthetic.bulk	压测条目
U+4E45	U+0037	synthetic.bulk	压测条目
U+4E46	U+0038	synthetic.bulk	压测条目
U+4E47	U+0039	synthetic.bulk	压测条目
U+4E48	U+0061	synthetic.bulk	压测条目
U+4E49	U+0062	synthetic.bulk	压测条目
U+4E4A	U+0063	synthetic.bulk	压测条目
U+4E4B	U+0064	synthetic.bulk	压测条目
U+4E4C	U+0065	synthetic.bulk	压测条目
U+4E4D	U+0066	synthetic.bulk	压测条目
U+4E4E	U+0067	synthetic.bulk	压测条目
U+4E4F	U+0068	synthetic.bulk	压测条目
U+4E50	U+0069	synthetic.bulk	压测条目
U+4E51	U+006A	synthetic.bulk	压测条目
U+4E52	U+006B	synthetic.bulk	压测条目
U+4E53	U+006C	synthetic.bulk	压测条目
U+4E54	U+006D	synthetic.bulk	压测条目
U+4E55	U+006E	synthetic.bulk	压测条目
U+4E56	U+006F	synthetic.bulk	压测条目
U+4E57	U+0070	synthetic.bulk	压测条目
U+4E58	U+0071	synthetic.bulk	压测条目
U+4E59	U+0072	synthetic.bulk	压测条目
U+4E5A	U+0073	synthetic.bulk	压测条目
U+4E5B	U+0074	synthetic.bulk	压测条目
U+4E5C	U+0075	synthetic.bulk	压测条目
U+4E5D	U+0076	synthetic.bulk	压测条目
U+4E5E	U+0077	synthetic.bulk	压测条目
U+4E5F	U+0078	synthetic.bulk	压测条目
U+4E60	U+0079	synthetic.bulk	压测条目
U+4E61	U+007A	synthetic.bulk	压测条目
U+4E62	U+0030	synthetic.bulk	压测条目
U+4E63	U+0031	synthetic.bulk	压测条目
U+4E64	U+0032	synthetic.bulk	压测条目
U+4E65	U+0033	synthetic.bulk	压测条目
U+4E66	U+0034	synthetic.bulk	压测条目
U+4E67	U+0035	synthetic.bulk	压测条目
U+4E68	U+0036	synthetic.bulk	压测条目
U+4E69	U+0037	synthetic.bulk	压测条目
U+4E6A	U+0038	synthetic.bulk	压测条目
U+4E6B	U+0039	synthetic.bulk	压测条目
U+4E6C	U+0061	synthetic.bulk	压测条目
U+4E6D	U+0062	synthetic.bulk	压测条目
U+4E6E	U+0063	synthetic.bulk	压测条目
U+4E6F	U+0064	synthetic.bulk	压测条目
U+4E70	U+0065	synthetic.bulk	压测条目
U+4E71	U+0066	synthetic.bulk	压测条目
U+4E72	U+0067	synthetic.bulk	压测条目
U+4E73	U+0068	synthetic.bulk	压测条目
U+4E74	U+0069	synthetic.bulk	压测条目
U+4E75	U+006A	synthetic.bulk	压测条目
U+4E76	U+006B	synthetic.bulk	压测条目
U+4E77	U+006C	synthetic.bulk	压测条目
U+4E78	U+006D	synthetic.bulk	压测条目
U+4E79	U+006E	synthetic.bulk	压测条目
U+4E7A	U+006F	synthetic.bulk	压测条目
U+4E7B	U+0070	synthetic.bulk	压测条目
U+4E7C	U+0071	synthetic.bulk	压测条目
U+4E7D	U+0072	synthetic.bulk	压测条目
U+4E7E	U+0073	synthetic.bulk	压测条目
U+4E7F	U+0074	synthetic.bulk	压测条目
U+4E80	U+0075	synthetic.bulk	压测条目
U+4E81	U+0076	synthetic.bulk	压测条目
U+4E82	U+0077	synthetic.bulk	压测条目
U+4E83	U+0078	synthetic.bulk	压测条目
U+4E84	U+0079	synthetic.bulk	压测条目
U+4E85	U+007A	synthetic.bulk	压测条目
U+4E86	U+0030	synthetic.bulk	压测条目
U+4E87	U+0031	synthetic.bulk	压测条目
U+4E88	U+0032	synthetic.bulk	压测条目
U+4E89	U+0033	synthetic.bulk	压测条目
U+4E8A	U+0034	synthetic.bulk	压测条目
U+4E8B	U+0035	synthetic.bulk	压测条目
U+4E8C	U+0036	synthetic.bulk	压测条目
U+4E8D	U+0037	synthetic.bulk	压测条目
U+4E8E	U+0038	synthetic.bulk	压测条目
U+4E8F	U+0039	synthetic.bulk	压测条目
U+4E90	U+0061	synthetic.bulk	压测条目
U+4E91	U+0062	synthetic.bulk	压测条目
U+4E92	U+0063	synthetic.bulk	压测条目
U+4E93	U+0064	synthetic.bulk	压测条目
U+4E94	U+0065	synthetic.bulk	压测条目
U+4E95	U+0066	synthetic.bulk	压测条目
U+4E96	U+0067	synthetic.bulk	压测条目
U+4E97	U+0068	synthetic.bulk	压测条目
U+4E98	U+0069	synthetic.bulk	压测条目
U+4E99	U+006A	synthetic.bulk	压测条目
U+4E9A	U+006B	synthetic.bulk	压测条目
U+4E9B	U+006C	synthetic.bulk	压测条目
U+4E9C	U+006D	synthetic.bulk	压测条目
U+4E9D	U+006E	synthetic.bulk	压测条目
U+4E9E	U+006F	synthetic.bulk	压测条目
U+4E9F	U+0070	synthetic.bulk	压测条目
U+4EA0	U+0071	synthetic.bulk	压测条目
U+4EA1	U+0072	synthetic.bulk	压测条目
U+4EA2	U+0073	synthetic.bulk	压测条目
U+4EA3	U+0074	synthetic.bulk	压测条目
U+4EA4	U+0075	synthetic.bulk	压测条目
U+4EA5	U+0076	synthetic.bulk	压测条目
U+4EA6	U+0077	synthetic.bulk	压测条目
U+4EA7	U+0078	synthetic.bulk	压测条目
U+4EA8	U+0079	synthetic.bulk	压测条目
U+4EA9	U+007A	synthetic.bulk	压测条目
U+4EAA	U+0030	synthetic.bulk	压测条目
U+4EAB	U+0031	synthetic.bulk	压测条目
U+4EAC	U+0032	synthetic.bulk	压测条目
U+4EAD	U+0033	synthetic.bulk	压测条目
U+4EAE	U+0034	synthetic.bulk	压测条目
U+4EAF	U+0035	synthetic.bulk	压测条目
U+4EB0	U+0036	synthetic.bulk	压测条目
U+4EB1	U+0037	synthetic.bulk	压测条目
U+4EB2	U+0038	synthetic.bulk	压测条目
U+4EB3	U+0039	synthetic.bulk	压测条目
U+4EB4	U+0061	synthetic.bulk	压测条目
U+4EB5	U+0062	synthetic.bulk	压测条目
U+4EB6	U+0063	synthetic.bulk	压测条目
U+4EB7	U+0064	synthetic.bulk	压测条目
U+4EB8	U+0065	synthetic.bulk	压测条目
U+4EB9	U+0066	synthetic.bulk	压测条目
U+4EBA	U+0067	synthetic.bulk	压测条目
U+4EBB	U+0068	synthetic.bulk	压测条目
U+4EBC	U+0069	synthetic.bulk	压测条目
U+4EBD	U+006A	synthetic.bulk	压测条目
U+4EBE	U+006B	synthetic.bulk	压测条目
U+4EBF	U+006C	synthetic.bulk	压测条目
U+4EC0	U+006D	synthetic.bulk	压测条目
U+4EC1	U+006E	synthetic.bulk	压测条目
U+4EC2	U+006F	synthetic.bulk	压测条目
U+4EC3	U+0070	synthetic.bulk	压测条目
U+4EC4	U+0071	synthetic.bulk	压测条目
U+4EC5	U+0072	synthetic.bulk	压测条目
U+4EC6	U+0073	synthetic.bulk	压测条目
U+4EC7	U+0074	synthetic.bulk	压测条目
U+4EC8	U+0075	synthetic.bulk	压测条目
U+4EC9	U+0076	synthetic.bulk	压测条目
U+4ECA	U+0077	synthetic.bulk	压测条目
U+4ECB	U+0078	synthetic.bulk	压测条目
U+4ECC	U+0079	synthetic.bulk	压测条目
U+4ECD	U+007A	synthetic.bulk	压测条目
U+4ECE	U+0030	synthetic.bulk	压测条目
U+4ECF	U+0031	synthetic.bulk	压测条目
U+4ED0	U+0032	synthetic.bulk	压测条目
U+4ED1	U+0033	synthetic.bulk	压测条目
U+4ED2	U+0034	synthetic.bulk	压测条目
U+4ED3	U+0035	synthetic.bulk	压测条目
U+4ED4	U+0036	synthetic.bulk	压测条目
U+4ED5	U+0037	synthetic.bulk	压测条目
U+4ED6	U+0038	synthetic.bulk	压测条目
U+4ED7	U+0039	synthetic.bulk	压测条目
U+4ED8	U+0061	synthetic.bulk	压测条目
U+4ED9	U+0062	synthetic.bulk	压测条目
U+4EDA	U+0063	synthetic.bulk	压测条目
U+4EDB	U+0064	synthetic.bulk	压测条目
U+4EDC	U+0065	synthetic.bulk	压测条目
U+4EDD	U+0066	synthetic.bulk	压测条目
U+4EDE	U+0067	synthetic.bulk	压测条目
U+4EDF	U+0068	synthetic.bulk	压测条目
U+4EE0	U+0069	synthetic.bulk	压测条目
U+4EE1	U+006A	synthetic.bulk	压测条目
U+4EE2	U+006B	synthetic.bulk	压测条目
U+4EE3	U+006C	synthetic.bulk	压测条目
U+4EE4	U+006D	synthetic.bulk	压测条目
U+4EE5	U+006E	synthetic.bulk	压测条目
U+4EE6	U+006F	synthetic.bulk	压测条目
U+4EE7	U+0070	synthetic.bulk	压测条目
U+4EE8	U+0071	synthetic.bulk	压测条目
U+4EE9	U+0072	synthetic.bulk	压测条目
U+4EEA	U+0073	synthetic.bulk	压测条目
U+4EEB	U+0074	synthetic.bulk	压测条目
U+4EEC	U+0075	synthetic.bulk	压测条目
U+4EED	U+0076	synthetic.bulk	压测条目
U+4EEE	U+0077	synthetic.bulk	压测条目
U+4EEF	U+0078	synthetic.bulk	压测条目
U+4EF0	U+0079	synthetic.bulk	压测条目
U+4EF1	U+007A	synthetic.bulk	压测条目
U+4EF2	U+0030	synthetic.bulk	压测条目
U+4EF3	U+0031	synthetic.bulk	压测条目
U+4EF4	U+0032	synthetic.bulk	压测条目
U+4EF5	U+0033	synthetic.bulk	压测条目
U+4EF6	U+0034	synthetic.bulk	压测条目
U+4EF7	U+0035	synthetic.bulk	压测条目
U+4EF8	U+0036	synthetic.bulk	压测条目
U+4EF9	U+0037	synthetic.bulk	压测条目
U+4EFA	U+0038	synthetic.bulk	压测条目
U+4EFB	U+0039	synthetic.bulk	压测条目
U+4EFC	U+0061	synthetic.bulk	压测条目
U+4EFD	U+0062	synthetic.bulk	压测条目
U+4EFE	U+0063	synthetic.bulk	压测条目
U+4EFF	U+0064	synthetic.bulk	压测条目
U+4F00	U+0065	synthetic.bulk	压测条目
U+4F01	U+0066	synthetic.bulk	压测条目
U+4F02	U+0067	synthetic.bulk	压测条目
U+4F03	U+0068	synthetic.bulk	压测条目
U+4F04	U+0069	synthetic.bulk	压测条目
U+4F05	U+006A	synthetic.bulk	压测条目
U+4F06	U+006B	synthetic.bulk	压测条目
U+4F07	U+006C	synthetic.bulk	压测条目
U+4F08	U+006D	synthetic.bulk	压测条目
U+4F09	U+006E	synthetic.bulk	压测条目
U+4F0A	U+006F	synthetic.bulk	压测条目
U+4F0B	U+0070	synthetic.bulk	压测条目
U+4F0C	U+0071	synthetic.bulk	压测条目
U+4F0D	U+0072	synthetic.bulk	压测条目
U+4F0E	U+0073	synthetic.bulk	压测条目
U+4F0F	U+0074	synthetic.bulk	压测条目
U+4F10	U+0075	synthetic.bulk	压测条目
U+4F11	U+0076	synthetic.bulk	压测条目
U+4F12	U+0077	synthetic.bulk	压测条目
U+4F13	U+0078	synthetic.bulk	压测条目
U+4F14	U+0079	synthetic.bulk	压测条目
U+4F15	U+007A	synthetic.bulk	压测条目
U+4F16	U+0030	synthetic.bulk	压测条目
U+4F17	U+0031	synthetic.bulk	压测条目
U+4F18	U+0032	synthetic.bulk	压测条目
U+4F19	U+0033	synthetic.bulk	压测条目
U+4F1A	U+0034	synthetic.bulk	压测条目
U+4F1B	U+0035	synthetic.bulk	压测条目
U+4F1C	U+0036	synthetic.bulk	压测条目
U+4F1D	U+0037	synthetic.bulk	压测条目
U+4F1E	U+0038	synthetic.bulk	压测条目
U+4F1F	U+0039	synthetic.bulk	压测条目
U+4F20	U+0061	synthetic.bulk	压测条目
U+4F21	U+0062	synthetic.bulk	压测条目
U+4F22	U+0063	synthetic.bulk	压测条目
U+4F23	U+0064	synthetic.bulk	压测条目
U+4F24	U+0065	synthetic.bulk	压测条目
U+4F25	U+0066	synthetic.bulk	压测条目
U+4F26	U+0067	synthetic.bulk	压测条目
U+4F27	U+0068	synthetic.bulk	压测条目
U+4F28	U+0069	synthetic.bulk	压测条目
U+4F29	U+006A	synthetic.bulk	压测条目
U+4F2A	U+006B	synthetic.bulk	压测条目
U+4F2B	U+006C	synthetic.bulk	压测条目
U+4F2C	U+006D	synthetic.bulk	压测条目
U+4F2D	U+006E	synthetic.bulk	压测条目
U+4F2E	U+006F	synthetic.bulk	压测条目
U+4F2F	U+0070	synthetic.bulk	压测条目
U+4F30	U+0071	synthetic.bulk	压测条目
U+4F31	U+0072	synthetic.bulk	压测条目
U+4F32	U+0073	synthetic.bulk	压测条目
U+4F33	U+0074	synthetic.bulk	压测条目
U+4F34	U+0075	synthetic.bulk	压测条目
U+4F35	U+0076	synthetic.bulk	压测条目
U+4F36	U+0077	synthetic.bulk	压测条目
U+4F37	U+0078	synthetic.bulk	压测条目
U+4F38	U+0079	synthetic.bulk	压测条目
U+4F39	U+007A	synthetic.bulk	压测条目
U+4F3A	U+0030	synthetic.bulk	压测条目
U+4F3B	U+0031	synthetic.bulk	压测条目
U+4F3C	U+0032	synthetic.bulk	压测条目
U+4F3D	U+0033	synthetic.bulk	压测条目
U+4F3E	U+0034	synthetic.bulk	压测条目
U+4F3F	U+0035	synthetic.bulk	压测条目
U+4F40	U+0036	synthetic.bulk	压测条目
U+4F41	U+0037	synthetic.bulk	压测条目
U+4F42	U+0038	synthetic.bulk	压测条目
U+4F43	U+0039	synthetic.bulk	压测条目
U+4F44	U+0061	synthetic.bulk	压测条目
U+4F45	U+0062	synthetic.bulk	压测条目
U+4F46	U+0063	synthetic.bulk	压测条目
U+4F47	U+0064	synthetic.bulk	压测条目
U+4F48	U+0065	synthetic.bulk	压测条目
U+4F49	U+0066	synthetic.bulk	压测条目
U+4F4A	U+0067	synthetic.bulk	压测条目
U+4F4B	U+0068	synthetic.bulk	压测条目
U+4F4C	U+0069	synthetic.bulk	压测条目
U+4F4D	U+006A	synthetic.bulk	压测条目
U+4F4E	U+006B	synthetic.bulk	压测条目
U+4F4F	U+006C	synthetic.bulk	压测条目
U+4F50	U+006D	synthetic.bulk	压测条目
U+4F51	U+006E	synthetic.bulk	压测条目
U+4F52	U+006F	synthetic.bulk	压测条目
U+4F53	U+0070	synthetic.bulk	压测条目
U+4F54	U+0071	synthetic.bulk	压测条目
U+4F55	U+0072	synthetic.bulk	压测条目
U+4F56	U+0073	synthetic.bulk	压测条目
U+4F57	U+0074	synthetic.bulk	压测条目
U+4F58	U+0075	synthetic.bulk	压测条目
U+4F59	U+0076	synthetic.bulk	压测条目
U+4F5A	U+0077	synthetic.bulk	压测条目
U+4F5B	U+0078	synthetic.bulk	压测条目
U+4F5C	U+0079	synthetic.bulk	压测条目
U+4F5D	U+007A	synthetic.bulk	压测条目
U+4F5E	U+0030	synthetic.bulk	压测条目
U+4F5F	U+0031	synthetic.bulk	压测条目
U+4F60	U+0032	synthetic.bulk	压测条目
U+4F61	U+0033	synthetic.bulk	压测条目
U+4F62	U+0034	synthetic.bulk	压测条目
U+4F63	U+0035	synthetic.bulk	压测条目
U+4F64	U+0036	synthetic.bulk	压测条目
U+4F65	U+0037	synthetic.bulk	压测条目
U+4F66	U+0038	synthetic.bulk	压测条目
U+4F67	U+0039	synthetic.bulk	压测条目
U+4F68	U+0061	synthetic.bulk	压测条目
U+4F69	U+0062	synthetic.bulk	压测条目
U+4F6A	U+0063	synthetic.bulk	压测条目
U+4F6B	U+0064	synthetic.bulk	压测条目
U+4F6C	U+0065	synthetic.bulk	压测条目
U+4F6D	U+0066	synthetic.bulk	压测条目
U+4F6E	U+0067	synthetic.bulk	压测条目
U+4F6F	U+0068	synthetic.bulk	压测条目
U+4F70	U+0069	synthetic.bulk	压测条目
U+4F71	U+006A	synthetic.bulk	压测条目
U+4F72	U+006B	synthetic.bulk	压测条目
U+4F73	U+006C	synthetic.bulk	压测条目
U+4F74	U+006D	synthetic.bulk	压测条目
U+4F75	U+006E	synthetic.bulk	压测条目
U+4F76	U+006F	synthetic.bulk	压测条目
U+4F77	U+0070	synthetic.bulk	压测条目
U+4F78	U+0071	synthetic.bulk	压测条目
U+4F79	U+0072	synthetic.bulk	压测条目
U+4F7A	U+0073	synthetic.bulk	压测条目
U+4F7B	U+0074	synthetic.bulk	压测条目
U+4F7C	U+0075	synthetic.bulk	压测条目
U+4F7D	U+0076	synthetic.bulk	压测条目
U+4F7E	U+0077	synthetic.bulk	压测条目
U+4F7F	U+0078	synthetic.bulk	压测条目
U+4F80	U+0079	synthetic.bulk	压测条目
U+4F81	U+007A	synthetic.bulk	压测条目
U+4F82	U+0030	synthetic.bulk	压测条目
U+4F83	U+0031	synthetic.bulk	压测条目
U+4F84	U+0032	synthetic.bulk	压测条目
U+4F85	U+0033	synthetic.bulk	压测条目
U+4F86	U+0034	synthetic.bulk	压测条目
U+4F87	U+0035	synthetic.bulk	压测条目
U+4F88	U+0036	synthetic.bulk	压测条目
U+4F89	U+0037	synthetic.bulk	压测条目
U+4F8A	U+0038	synthetic.bulk	压测条目
U+4F8B	U+0039	synthetic.bulk	压测条目
U+4F8C	U+0061	synthetic.bulk	压测条目
U+4F8D	U+0062	synthetic.bulk	压测条目
U+4F8E	U+0063	synthetic.bulk	压测条目
U+4F8F	U+0064	synthetic.bulk	压测条目
U+4F90	U+0065	synthetic.bulk	压测条目
U+4F91	U+0066	synthetic.bulk	压测条目
U+4F92	U+0067	synthetic.bulk	压测条目
U+4F93	U+0068	synthetic.bulk	压测条目
U+4F94	U+0069	synthetic.bulk	压测条目
U+4F95	U+006A	synthetic.bulk	压测条目
U+4F96	U+006B	synthetic.bulk	压测条目
U+4F97	U+006C	synthetic.bulk	压测条目
U+4F98	U+006D	synthetic.bulk	压测条目
U+4F99	U+006E	synthetic.bulk	压测条目
U+4F9A	U+006F	synthetic.bulk	压测条目
U+4F9B	U+0070	synthetic.bulk	压测条目
U+4F9C	U+0071	synthetic.bulk	压测条目
U+4F9D	U+0072	synthetic.bulk	压测条目
U+4F9E	U+0073	synthetic.bulk	压测条目
U+4F9F	U+0074	synthetic.bulk	压测条目
U+4FA0	U+0075	synthetic.bulk	压测条目
U+4FA1	U+0076	synthetic.bulk	压测条目
U+4FA2	U+0077	synthetic.bulk	压测条目
U+4FA3	U+0078	synthetic.bulk	压测条目
U+4FA4	U+0079	synthetic.bulk	压测条目
U+4FA5	U+007A	synthetic.bulk	压测条目
U+4FA6	U+0030	synthetic.bulk	压测条目
U+4FA7	U+0031	synthetic.bulk	压测条目
U+4FA8	U+0032	synthetic.bulk	压测条目
U+4FA9	U+0033	synthetic.bulk	压测条目
U+4FAA	U+0034	synthetic.bulk	压测条目
U+4FAB	U+0035	synthetic.bulk	压测条目
U+4FAC	U+0036	synthetic.bulk	压测条目
U+4FAD	U+0037	synthetic.bulk	压测条目
U+4FAE	U+0038	synthetic.bulk	压测条目
U+4FAF	U+0039	synthetic.bulk	压测条目
U+4FB0	U+0061	synthetic.bulk	压测条目
U+4FB1	U+0062	synthetic.bulk	压测条目
U+4FB2	U+0063	synthetic.bulk	压测条目
U+4FB3	U+0064	synthetic.bulk	压测条目
U+4FB4	U+0065	synthetic.bulk	压测条目
U+4FB5	U+0066	synthetic.bulk	压测条目
U+4FB6	U+0067	synthetic.bulk	压测条目
U+4FB7	U+0068	synthetic.bulk	压测条目
U+4FB8	U+0069	synthetic.bulk	压测条目
U+4FB9	U+006A	synthetic.bulk	压测条目
U+4FBA	U+006B	synthetic.bulk	压测条目
U+4FBB	U+006C	synthetic.bulk	压测条目
U+4FBC	U+006D	synthetic.bulk	压测条目
U+4FBD	U+006E	synthetic.bulk	压测条目
U+4FBE	U+006F	synthetic.bulk	压测条目
U+4FBF	U+0070	synthetic.bulk	压测条目
U+4FC0	U+0071	synthetic.bulk	压测条目
U+4FC1	U+0072	synthetic.bulk	压测条目
U+4FC2	U+0073	synthetic.bulk	压测条目
U+4FC3	U+0074	synthetic.bulk	压测条目
U+4FC4	U+0075	synthetic.bulk	压测条目
U+4FC5	U+0076	synthetic.bulk	压测条目
U+4FC6	U+0077	synthetic.bulk	压测条目
U+4FC7	U+0078	synthetic.bulk	压测条目
U+4FC8	U+0079	synthetic.bulk	压测条目
U+4FC9	U+007A	synthetic.bulk	压测条目
U+4FCA	U+0030	synthetic.bulk	压测条目
U+4FCB	U+0031	synthetic.bulk	压测条目
U+4FCC	U+0032	synthetic.bulk	压测条目
U+4FCD	U+0033	synthetic.bulk	压测条目
U+4FCE	U+0034	synthetic.bulk	压测条目
U+4FCF	U+0035	synthetic.bulk	压测条目
U+4FD0	U+0036	synthetic.bulk	压测条目
U+4FD1	U+0037	synthetic.bulk	压测条目
U+4FD2	U+0038	synthetic.bulk	压测条目
U+4FD3	U+0039	synthetic.bulk	压测条目
U+4FD4	U+0061	synthetic.bulk	压测条目
U+4FD5	U+0062	synthetic.bulk	压测条目
U+4FD6	U+0063	synthetic.bulk	压测条目
U+4FD7	U+0064	synthetic.bulk	压测条目
U+4FD8	U+0065	synthetic.bulk	压测条目
U+4FD9	U+0066	synthetic.bulk	压测条目
U+4FDA	U+0067	synthetic.bulk	压测条目
